Date;Espèce;Type;Sous-type;Etat
2019-06-03;Fléole;Herbacée;Graminée;1.0
2019-06-03;Flouve;Herbacée;Graminée;2.0
2019-06-03;Vulpin;Herbacée;Graminée;2.0
2019-06-03;Graminée;Herbacée;;2.0
2019-06-03;Dactyle;Herbacée;Graminée;2.0
2019-06-03;Houlque;Herbacée;Graminée;2.0
2019-06-03;Aulne;Arbre;;4.0
2019-06-03;Armoise;Herbacée;;1.0
2019-06-03;Fromental;Herbacée;Graminée;2.0
2019-06-03;Bouleau;Arbre;;4.0
2019-06-03;Noisetier;Arbre;;3.0
2019-06-03;Chêne;Arbre;;4.0
2019-06-03;Plantain;Herbacée;;2.0
2019-06-03;;;;2.0
2019-06-03;Frêne;Arbre;;4.0
2019-06-03;Saule;Arbre;;3.0
